,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,198910,1.35
 Annual Factors: January-December ,,,,,,,198911,2.7
,Mkt-RF,SMB,HML,RMW,CMA,RF,198912,2.79
1964,12.59,0.4,9.82,-2.59,6.64,3.54,199001,-2.98
1965,10.52,24.71,7.42,-0.86,-3.85,3.93,199002,-0.51
1966,-13.55,2.33,-0.83,-0.4,-0.78,4.76,199003,1.72
1967,24.51,50.18,-8.06,9.06,-15.84,4.21,199004,2.28
1968,8.91,26.25,18.23,-13.9,16.87,5.21,199005,3.14
1969,-17.53,-14.21,-10.04,11.69,-4.78,6.58,199006,2.49
1970,-6.45,-12.37,21.45,-3.31,23.89,6.52,199007,6.04
1971,11.78,5.62,-10.93,10.37,-6.15,4.39,199008,1.97
1972,13.03,-11.78,1.46,8.22,-3.19,3.84,199009,5.71
1973,-26.25,-20.12,17.5,-8.92,6.83,6.93,199010,6.74
1974,-35.81,0.65,9.65,-4.39,22.85,8,199011,-5.36
1975,32.55,18.75,9.36,0.92,0.53,5.8,199012,0.25
1976,21.9,19.86,24.26,-6.35,7.54,5.08,199101,-6.47
1977,-8.22,24.67,7.52,2.21,-0.2,5.12,199102,-4.94
1978,1.05,13.63,0.52,5,4.18,7.18,199103,2.71
1979,13.09,20.72,-2.37,-3.69,-1.2,10.38,199104,-2.32
1980,21.98,4.47,-24.13,12.8,-11.22,11.24,199105,-0.09
1981,-17.98,6.97,24.88,-1.18,10.62,14.71,199106,0.42
1982,10.78,7.05,12.99,-4.06,17.55,10.54,199107,4.26
1983,13.73,12.22,20.42,0.67,16.47,8.8,199108,1.58
1984,-5.99,-8.16,19,15.21,3.45,9.85,199109,1.75
1985,24.91,-0.84,0.99,11.73,-3.17,7.72,199110,3.18
1986,10.27,-10.33,9.55,6.68,10.48,6.16,199111,1.18
1987,-3.85,-11.05,-1.26,6.41,6.81,5.47,199112,8.29
1988,11.63,6.03,14.75,3.07,9.24,6.35,199201,-2.5
1989,20.45,-13.08,-4.4,2.86,7.25,8.37,199202,-0.7
1990,-13.84,-14.02,-10.11,7.74,0.91,7.81,199203,-0.21
1991,29.26,15.8,-14.64,12.28,-15.19,5.6,199204,-2.55
1992,6.27,8.88,24.34,7.34,7.11,3.51,199205,0.06
1993,8.26,6.34,17.05,-7.16,12.07,2.9,199206,-0.57
